"name","result.year","result.code","result.category"
"Labeo lankae","1996","CR","Critically Endangered"
"Labeo victorianus","2016","CR","Critically Endangered"
"Labordia cyrtandrae","2003","CR","Critically Endangered"
"Labordia helleri","2016","CR","Critically Endangered"
"Labordia hosakana","2017","CR","Critically Endangered"
"Labordia hosakana","2016","CR","Critically Endangered"
"Labordia lorenceana","2016","CR","Critically Endangered"
"Labordia triflora","2015","CR","Critically Endangered"
"Ladenbergia rubiginosa","2004","CR","Critically Endangered"
"Lagothrix lugens","2008","CR","Critically Endangered"
"Lagothrix lugens","2003","VU","Vulnerable"
"Lagothrix lugens","2000","VU","Vulnerable"
"Lagothrix lugens","1996","CR","Critically Endangered"
"Lagothrix lugens","1994","E","Endangered"
"Lalage newtoni","2016","CR","Critically Endangered"
"Lalage newtoni","2015","CR","Critically Endangered"
"Lalage newtoni","2013","CR","Critically Endangered"
"Lalage newtoni","2012","CR","Critically Endangered"
"Lalage newtoni","2010","CR","Critically Endangered"
"Lalage newtoni","2009","CR","Critically Endangered"
"Lalage newtoni","2008","CR","Critically Endangered"
"Lalage newtoni","2004","EN","Endangered"
"Lalage newtoni","2000","EN","Endangered"
"Lalage newtoni","1996","EN","Endangered"
"Lalage newtoni","1994","EN","Endangered"
"Lalage newtoni","1988","T","Threatened"
"Laminella sanguinea","1996","CR","Critically Endangered"
"Laminella sanguinea","1994","E","Endangered"
"Lamium tschorochense","2014","CR","Critically Endangered"
"Lamna nasus Mediterranean subpopulation","2006","CR","Critically Endangered"
"Lamna nasus Northeast Atlantic subpopulation","2006","CR","Critically Endangered"
"Lamna nasus Northeast Atlantic subpopulation","2000","VU","Vulnerable"
"Lampedusa melitensis","2017","CR","Critically Endangered"
"Lampedusa melitensis","2012","CR","Critically Endangered"
"Lampetra spadicea","2009","CR","Critically Endangered"
"Lamprologus kungweensis","2006","CR","Critically Endangered"
"Lampropeltis herrerae","2007","CR","Critically Endangered"
"Lamprotula crassa","2011","CR","Critically Endangered"
"Lamprotula liedtkei","2011","CR","Critically Endangered"
"Lamprotula nodulosa","2011","CR","Critically Endangered"
"Lamprotula triclava","2011","CR","Critically Endangered"
"Lampsilis streckeri","2000","CR","Critically Endangered"
"Lampsilis streckeri","1996","CR","Critically Endangered"
"Lampsilis streckeri","1994","E","Endangered"
"Lampsilis streckeri","1990","I","Indeterminate"
"Lampsilis streckeri","1988","I","Indeterminate"
"Lampsilis streckeri","1986","I","Indeterminate"
"Lampsilis virescens","1996","CR","Critically Endangered"
